1;0;5;0;fffffff4;569;ffffffea;ffffffd9;fffffff5;0000019c;0000004b;fffffb8c
2;0;9;fffffffe;ffffffee;562;ffffffe8;ffffffe0;fffffff3;0000019c;0000004b;fffffb8c
3;0;13;ffffffee;fffffff0;572;ffffffe7;ffffffdf;fffffff1;0000019c;0000004b;fffffb8c
4;0;18;ffffffee;ffffffe8;583;ffffffe9;ffffffdd;fffffff1;0000019c;45;fffffb88
5;0;22;fffffffb;ffffffef;0000056f;ffffffee;ffffffdb;fffffff7;0000019c;45;fffffb88
6;0;27;1;ffffffef;569;ffffffed;ffffffdc;fffffff4;0000019c;45;fffffb88
7;0;31;fffffffa;ffffffef;566;ffffffec;ffffffdb;fffffff0;000001a2;0000004d;fffffb92
8;0;36;fffffff7;ffffffeb;0000056f;ffffffed;ffffffd8;fffffff2;000001a2;0000004d;fffffb92
9;0;40;fffffffe;ffffffec;577;ffffffec;ffffffda;fffffff4;000001a2;0000004d;fffffba3
10;0;45;fffffffd;ffffffec;571;ffffffe7;ffffffd9;fffffff1;0000017d;41;fffffba3
11;0;49;ffffff00;fffffff2;565;ffffffed;ffffffda;fffffff3;0000017d;41;fffffba3
12;0;53;fffffff6;ffffffea;0000056c;ffffffea;ffffffd7;fffffff4;195;41;fffffba0
13;0;58;ffffffeb;ffffffe6;575;ffffffe9;ffffffd7;fffffff5;195;41;fffffba0
14;0;62;fffffff9;ffffffe9;0000056a;ffffffea;ffffffdb;fffffff5;195;41;fffffba0
15;0;64;fffffff3;ffffffee;576;ffffffe9;ffffffda;fffffff4;195;41;fffffba0
16;0;67;fffffffa;ffffffec;561;ffffffe7;ffffffd9;fffffff4;000001a4;0000003b;fffffb9f
17;0;70;fffffffc;fffffff1;567;ffffffe5;ffffffdb;fffffff6;000001a4;0000003b;fffffb9f
18;0;73;2;fffffff3;560;ffffffe7;ffffffdd;fffffff5;000001a4;0000003b;fffffb9f
19;0;75;fffffffb;fffffff0;0000056d;ffffffedffffffd6;fffffff6;000001a4;0000003b;fffffb9f
20;0;78;fffffff8;ffffffef;0000056c;ffffffea;ffffffd6;fffffff5;000001a2;45;fffffb7e
21;0;80;fffffffa;ffffffe6;576;ffffffe9;ffffffd8;fffffff6;000001a2;45;fffffb7e
22;0;83;fffffff4;ffffffeb;0000057d;ffffffe9;ffffffda;fffffff5;000001a2;45;fffffb7e
23;0;86;fffffff4;ffffffef;576;ffffffe5;ffffffdb;fffffff4;000001a2;45;fffffb7e
24;0;88;fffffffa;ffffffe7;579;ffffffe8;ffffffd8;fffffff7;000001a2;45;fffffb7e
25;0;91;fffffff7;fffffff3;565;ffffffe8;ffffffd6;fffffff7;000001a4;39;fffffb89
26;0;94;fffffffc;fffffff1;562;ffffffea;ffffffd6;fffffff6;000001a4;39;fffffb89
27;0;96;fffffffc;ffffffee;0000056a;ffffffe7;ffffffd5;fffffff7;000001a4;39;fffffb89
28;0;99;fffffff6;fffffff5;0000056a;ffffffe8;ffffffd5;fffffff5;000001a4;39;fffffb89
29;0;102;fffffff1;ffffffe9;570;ffffffe9;ffffffd7;fffffff5;000001a4;39;fffffb89
